domain,new_domain,facebook,twitter,youtube,instagram,linkedin,medium,weibo,snapchat
hashicorp.com,hashicorp.com,https://www.facebook.com/hashicorp/,https://twitter.com/hashicorp,https://www.youtube.com/hashicorp,,https://www.linkedin.com/company/hashicorp/,,,
apple.com,apple.com,,,,,,,,
consensys.net,consensys.net,https://www.facebook.com/consensussystems,https://twitter.com/consensys,https://www.youtube.com/channel/ucbelewm-yhikuixhtx0vzdq,https://www.instagram.com/consensysofficial/,https://www.linkedin.com/company/consensus-systems-consensys-,,,
ourcrowd.com,ourcrowd.com,https://www.facebook.com/ourcrowdfund,https://twitter.com/ourcrowd,https://www.youtube.com/user/ourcrowdfund/featured,,https://www.linkedin.com/company/ourcrowd-llc/,,,
finixpayments.com,finixpayments.com,,https://twitter.com/finix,,,https://www.linkedin.com/company/finix-payments,,,
unacademy.com,unacademy.com,https://www.facebook.com/unacademy/,https://twitter.com/unacademy,https://www.youtube.com/channel/ucabe2fgvnv2hgbemu2mysvg,https://www.instagram.com/unacademy/,https://www.linkedin.com/company/unacademy,,,
Dave.com,Dave.com,https://www.facebook.com/thedaveapp/,https://twitter.com/davesavesyou,,https://www.instagram.com/thedaveapp/,,,,
thecoalition.com,thecoalition.com,,,,,,,,
zoom.us,zoom.us,http://www.facebook.com/zoomvideocommunications,http://www.twitter.com/zoom_us,http://www.youtube.com/zoommeetings,,http://www.linkedin.com/company/2532259,,,
byjus.com,byjus.com,https://www.facebook.com/byjuslearningapp/,,https://www.youtube.com/channel/uckdw-lpu1nnd2wrsfndbuca,,,,,
kroger.com,kroger.com,https://www.facebook.com/kroger/app_190322544333196,https://twitter.com/kroger,https://www.youtube.com/kroger,,,,,
alibabagroup.com,alibabagroup.com/en/news/social,https://www.facebook.com/alibabatw/,https://twitter.com/alibaba_cloud,https://www.youtube.com/channel/ucippa-zhx6uygh_iyti1-jw,,https://www.linkedin.com/company/alibaba-cloud-computing-company/,,https://www.weibo.com/aligy,
whatsapp.com,whatsapp.com,https://www.facebook.com/whatsapp,https://twitter.com/whatsapp,,,,,,
